lemma,pos,sentiment,inflections,stem
Aufstieg,NN,0.004,"Aufstiegen,Aufstiege,Aufstiegs,Aufstieges",aufstieg
Aufstockung,NN,0.004,Aufstockungen,aufstock
Auftrag,NN,0.004,"Aufträgen,Aufträge,Auftrages,Auftrags,Auftrage",auftrag
Auftrieb,NN,0.004,"Auftrieben,Auftriebs,Auftriebes,Auftriebe",auftrieb
Aufwertung,NN,0.004,Aufwertungen,aufwert
Aufwärtstrend,NN,0.004,Aufwärtstrends,aufwartstr
Augenweide,NN,0.0844,Augenweiden,augenweid
Ausbau,NN,0.004,"Ausbaues,Ausbaus",ausbau
Ausbildung,NN,0.004,Ausbildungen,ausbild
Ausdauer,NN,0.0886,,ausdau
Ausgleich,NN,0.004,"Ausgleichen,Ausgleichs,Ausgleiches,Ausgleiche",ausgleich
Ausgleichszahlung,NN,0.004,Ausgleichszahlungen,ausgleichszahl
Auszeichnung,NN,0.004,Auszeichnungen,auszeichn
Authentizität,NN,0.004,,authentizitat
Autonomie,NN,0.004,Autonomien,autonomi
Bedeutung,NN,0.004,Bedeutungen,bedeut
Befreiung,NN,0.004,Befreiungen,befreiung
Befriedigung,NN,0.004,Befriedigungen,befried
Beförderung,NN,0.004,Beförderungen,beforder
Begeisterung,NN,0.32,Begeisterungen,begeister
Begnadigung,NN,0.004,Begnadigungen,begnad
Begünstigung,NN,0.004,Begünstigungen,begunst
Beifall,NN,0.3265,"Beifalles,Beifalls,Beifalle",beifall
Beifallsruf,NN,0.004,"Beifallsrufen,Beifallsrufes,Beifallsrufe,Beifallsrufs",beifallsruf
Beilegung,NN,0.004,Beilegungen,beileg
Beisteuerung,NN,0.004,,beisteuer
Beitritt,NN,0.004,"Beitritten,Beitritts,Beitritte,Beitrittes",beitritt
Bekräftigung,NN,0.004,Bekräftigungen,bekraft
Belastbarkeit,NN,0.004,Belastbarkeiten,belastbar
Belebtheit,NN,0.004,,belebt
Beliebtheit,NN,0.004,,beliebt
Belohnung,NN,0.0813,Belohnungen,belohn
Benefiz,NN,0.004,"Benefizes,Benefizen,Benefize",benefiz
Bereicherung,NN,0.004,Bereicherungen,bereicher
Bereitschaft,NN,0.004,Bereitschaften,bereitschaft
Bereitstellung,NN,0.004,Bereitstellungen,bereitstell
Beruhigung,NN,0.004,Beruhigungen,beruh
Bescheidenheit,NN,0.0852,,bescheid
Beschleunigung,NN,0.004,Beschleunigungen,beschleun
Beschwichtigung,NN,0.004,Beschwichtigungen,beschwicht
Besitz,NN,0.004,"Besitzes,Besitzs",besitz
Besserung,NN,0.004,Besserungen,besser
Bestätigung,NN,0.004,Bestätigungen,bestat
Beteiligung,NN,0.004,Beteiligungen,beteil
Bewunderer,NN,0.004,"Bewunderers,Bewunderern",bewund
Bewunderung,NN,0.004,Bewunderungen,bewunder
Bildung,NN,0.004,Bildungen,bildung
Blüte,NN,0.004,Blüten,blut
Bonität,NN,0.004,Bonitäten,bonitat
Bonus,NN,0.004,"Bonussen,Bonusses,Boni,Bonusse",bonus
Boom,NN,0.004,Booms,boom
Brillanz,NN,0.004,,brillanz
Brüderlichkeit,NN,0.004,,bruder
Bund,NN,0.004,"Bünden,Bundes,Bunds,Bunde,Bünde",bund
Bündnis,NN,0.004,"Bündnisse,Bündnisses,Bündnissen",bundnis
Champion,NN,0.004,Champions,champion
Charisma,NN,0.004,"Charismas,Charismata,Charismen",charisma
Charme,NN,0.004,Charmes,charm
Cleverness,NN,0.004,Cleverneß,cleverness
Comeback,NN,0.0712,Comebacks,comeback
Dankbarkeit,NN,0.004,,dankbar
Diskretion,NN,0.004,,diskretion
Disziplin,NN,0.0611,Disziplinen,disziplin
Duft,NN,0.2149,"Duftes,Düfte,Dufts,Düften,Dufte",duft
Dynamik,NN,0.004,Dynamiken,dynam
Echtheit,NN,0.004,,echtheit
Effizienz,NN,0.004,Effizienzen,effizienz
Ehre,NN,0.0732,Ehren,ehre
Ehrfurcht,NN,0.004,,ehrfurcht
Ehrlichkeit,NN,0.004,,ehrlichkeit
Ehrwürdigkeit,NN,0.004,Ehrwürdigkeiten,ehrwurdig
Eifer,NN,0.004,Eifers,eif
Eigenkapital,NN,0.004,"Eigenkapitals,Eigenkapitalien,Eigenkapitale,Eigenkapitalen",eigenkapital
Eignung,NN,0.004,,eignung
Eindeutigkeit,NN,0.004,Eindeutigkeiten,eindeut
Einfallsreichtum,NN,0.004,Einfallsreichtums,einfallsreichtum
Einhaltung,NN,0.004,,einhalt
Einheit,NN,0.004,Einheiten,einheit
Einheitlichkeit,NN,0.004,,einheit
Einkauf,NN,0.004,"Einkäufen,Einkäufe,Einkaufes,Einkaufs,Einkaufe",einkauf
Einnahme,NN,0.004,Einnahmen,einnahm
Einsparung,NN,0.004,Einsparungen,einspar
Einweihung,NN,0.004,Einweihungen,einweih
Einzigartigkeit,NN,0.004,,einzigart
Eleganz,NN,0.004,,eleganz
Empathie,NN,0.004,,empathi
Empfehlung,NN,0.004,Empfehlungen,empfehlung
Engagement,NN,0.2157,Engagements,engagement
Entlastung,NN,0.004,Entlastungen,entlastung
Entlohnung,NN,0.004,Entlohnungen,entlohnung
Entschluß,NN,0.0804,"Entschluss,Entschlusse,Entschlusses,Entschlüsse,Entschlüssen",entschluss
Entschlüsselung,NN,0.004,Entschlüsselungen,entschlussel
Entschädigung,NN,0.004,Entschädigungen,entschadig
Entspannung,NN,0.0875,Entspannungen,entspannung
Entwirrung,NN,0.004,Entwirrungen,entwirrung
Erbe,NN,0.004,"Erben,Erbes",erbe
Erfahrung,NN,0.004,Erfahrungen,erfahrung
Erfolg,NN,0.3446,"Erfolgs,Erfolge,Erfolgen,Erfolges",erfolg
Erfolgserlebnis,NN,0.0884,"Erfolgserlebnisses,Erfolgserlebnissen,Erfolgserlebnisse",erfolgserlebnis
Erfüllung,NN,0.004,Erfüllungen,erfullung
Ergiebigkeit,NN,0.004,,ergiebig
Ergänzung,NN,0.004,Ergänzungen,erganzung
Erhaltung,NN,0.004,,erhaltung
Erholung,NN,0.0865,Erholungen,erholung
Erhöhung,NN,0.004,Erhöhungen,erhohung
Erlaubnis,NN,0.004,"Erlaubnisse,Erlaubnissen",erlaubnis
Erleichterung,NN,0.004,Erleichterungen,erleichter
Erleuchtung,NN,0.004,Erleuchtungen,erleuchtung
Erlösung,NN,0.004,Erlösungen,erlosung
Ermutigung,NN,0.004,Ermutigungen,ermutig
Erneuerung,NN,0.004,Erneuerungen,erneuer
Ernsthaftigkeit,NN,0.004,,ernsthaftig
Ersparnis,NN,0.004,"Ersparnisse,Ersparnissen",ersparnis
Ertrag,NN,0.004,"Erträgen,Ertrags,Erträge,Ertrages,Ertrage",ertrag
Erweiterung,NN,0.004,Erweiterungen,erweiter
Erzeugnis,NN,0.004,"Erzeugnissen,Erzeugnisses,Erzeugnisse",erzeugnis
Experte,NN,0.004,Experten,expert
Expertise,NN,0.004,Expertisen,expertis
Exzellenz,NN,0.004,Exzellenzen,exzellenz
Fairness,NN,0.004,,fairness
Faszination,NN,0.004,,faszination
Favorit,NN,0.004,Favoriten,favorit
Feier,NN,0.0829,Feiern,feier
Fertigkeit,NN,0.004,Fertigkeiten,fertig
Fest,NN,0.2346,"Festes,Fests,Feste,Festen",fest
Festakt,NN,0.004,"Festakts,Festaktes,Festakte,Festakten",festakt
Festigkeit,NN,0.004,,festig
Festlichkeit,NN,0.004,Festlichkeiten,festlich
Finanzierung,NN,0.004,Finanzierungen,finanzier
Fitness,NN,0.0851,,fitness
Flair,NN,0.2216,Flairs,flair
Fleiß,NN,0.3113,"Fleißes,Fleißs",fleiss
Flexibilität,NN,0.004,,flexibilitat
Fortschritt,NN,0.004,"Fortschritte,Fortschrittes,Fortschritts,Fortschritten",fortschritt
Freiheit,NN,0.004,Freiheiten,freiheit
Freispruch,NN,0.004,"Freisprüchen,Freisprüche,Freispruches,Freispruchs,Freispruche",freispruch
Freude,NN,0.6502,Freuden,freud
Freund,NN,0.0116,"Freunden,Freundes,Freunde,Freunds",freund
Freundlichkeit,NN,0.0913,Freundlichkeiten,freundlich
Freundschaft,NN,0.2059,Freundschaften,freundschaft
Frieden,NN,0.004,Friedens,fried
Fruchtbarkeit,NN,0.004,,fruchtbar
Funktionsfähigkeit,NN,0.004,Funktionsfähigkeiten,funktionsfah
Furchtlosigkeit,NN,0.004,,furchtlos
Fähigkeit,NN,0.0892,Fähigkeiten,fahig
Förderung,NN,0.0829,Förderungen,forder
Führung,NN,0.004,Führungen,fuhrung
Fülle,NN,0.004,Füllen,full
Gabe,NN,0.0747,Gaben,gab
Garantie,NN,0.004,Garantien,garanti
Gastfreundlichkeit,NN,0.004,Gastfreundlichkeiten,gastfreund
Gedenken,NN,0.004,Gedenkens,gedenk
Geduld,NN,0.0789,,geduld
Gefallen,NN,0.3349,Gefallens,gefall
Gehaltszulage,NN,0.004,Gehaltszulagen,gehaltszulag
Gelassenheit,NN,0.0721,,gelass
Geldgeber,NN,0.004,"Geldgebers,Geldgebern",geldgeb
Gemeinschaft,NN,0.004,Gemeinschaften,gemeinschaft
Genauigkeit,NN,0.004,,genau
Genehmigung,NN,0.004,Genehmigungen,genehm
Genesung,NN,0.004,Genesungen,genes
Genialität,NN,0.004,,genialitat
Genie,NN,0.0697,Genies,geni
Genuss,NN,0.0701,"Genusse,Genusses,Genüsse,Genüssen",genuss
Genuß,NN,0.073,"Genusse,Genusses,Genüsse,Genüssen",genuss
Gerechtigkeit,NN,0.004,,gerecht
Geräumigkeit,NN,0.004,,geraum
Geschenk,NN,0.4792,"Geschenken,Geschenks,Geschenkes,Geschenke",geschenk
Geschick,NN,0.004,"Geschicke,Geschicks,Geschickes,Geschicken",geschick
Geschicklichkeit,NN,0.004,,geschick
Gesundheit,NN,0.004,,gesund
Gesundung,NN,0.004,,gesund
Gewinn,NN,0.004,"Gewinns,Gewinnen,Gewinne,Gewinnes",gewinn
Gewinner,NN,0.004,"Gewinnern,Gewinners",gewinn
Gewährleistung,NN,0.004,Gewährleistungen,gewahrleist
Glamour,NN,0.004,Glamours,glamour
Glanz,NN,0.004,"Glanzs,Glanzes,Glanze",glanz
Glaube,NN,0.004,"Glaubens,Glauben",glaub
Glaubwürdigkeit,NN,0.004,Glaubwürdigkeiten,glaubwurd
Gleichstellung,NN,0.004,Gleichstellungen,gleichstell
Glück,NN,0.2452,"Glücken,Glückes,Glücks,Glücke",gluck
Glückseligkeit,NN,0.004,Glückseligkeiten,glucksel
Glückwunsch,NN,0.2193,"Glückwünschen,Glückwünsche,Glückwunschs,Glückwunsches",gluckwunsch
Gnade,NN,0.004,Gnaden,gnad
Gratulation,NN,0.428,Gratulationen,gratulation
Grenzenlosigkeit,NN,0.004,Grenzenlosigkeiten,grenzenlos
Großzügigigkeit,NN,0.004,Großzügigigkeiten,grosszugig
Größe,NN,0.004,Größen,gross
Gründlichkeit,NN,0.004,,grundlich
Gunst,NN,0.004,Gunsten,gunst
Gönner,NN,0.004,"Gönnern,Gönners",gonn
Gönnerschaft,NN,0.004,,gonnerschaft
Gültigkeit,NN,0.004,Gültigkeiten,gultig
Güte,NN,0.004,,gut
Hammer,NN,0.004,"Hämmern,Hammers,Hämmer",hamm
Harmonie,NN,0.0795,Harmonien,harmoni
Harmonisierung,NN,0.004,Harmonisierungen,harmonisier
Hartnäckigkeit,NN,0.004,Hartnäckigkeiten,hartnack
Heiligtum,NN,0.004,"Heiligtümern,Heiligtümer,Heiligtums",heiligtum
Heilung,NN,0.004,Heilungen,heilung
Heirat,NN,0.004,Heiraten,heirat
Heiterkeit,NN,0.004,,heiter
Helligkeit,NN,0.004,Helligkeiten,hellig
Herrlichkeit,NN,0.004,Herrlichkeiten,herrlich
Highlight,NN,0.004,Highlights,highlight
Hilfe,NN,0.004,Hilfen,hilf
Hilfsbereitschaft,NN,0.004,Hilfsbereitschaften,hilfsbereitschaft
Hingabe,NN,0.004,Hingaben,hingab
Hochdruckgebiet,NN,0.004,"Hochdruckgebiete,Hochdruckgebiets,Hochdruckgebieten,Hochdruckgebietes",hochdruckgebiet
Hochruf,NN,0.004,"Hochrufes,Hochrufen,Hochrufs,Hochrufe",hochruf
Hochwertigkeit,NN,0.004,,hochwert
Hoffnung,NN,0.2038,Hoffnungen,hoffnung
Humanität,NN,0.004,,humanitat
Humor,NN,0.3296,"Humoren,Humore,Humors",humor
Hurra,NN,0.004,Hurras,hurra
Hurrageschrei,NN,0.004,Hurrageschreis,hurrageschrei
Höflichkeit,NN,0.004,Höflichkeiten,hoflich
Höhepunkt,NN,0.004,"Höhepunkten,Höhepunktes,Höhepunkts,Höhepunkte",hohepunkt
Individualität,NN,0.004,Individualitäten,individualitat
Innovation,NN,0.004,Innovationen,innovation
Inspiration,NN,0.004,Inspirationen,inspiration
Integrität,NN,0.004,,integritat
Intellekt,NN,0.004,"Intellekts,Intellekten,Intellektes,Intellekte",intellekt
Intelligenz,NN,0.004,Intelligenzen,intelligenz
Interesse,NN,0.004,"Interesses,Interessen",interess
Interessenvertretung,NN,0.004,Interessenvertretungen,interessenvertret
Investition,NN,0.004,Investitionen,investition
Jubel,NN,0.0652,Jubels,jubel
Jubiläum,NN,0.004,"Jubiläums,Jubiläen",jubilaum
Kauf,NN,0.004,"Kaufs,Kaufes,Käufen,Käufe",kauf
Klarheit,NN,0.004,Klarheiten,klarheit
Komfort,NN,0.1808,Komforts,komfort
Kommunikation,NN,0.004,Kommunikationen,kommunikation
Kompatibilität,NN,0.004,Kompatibilitäten,kompatibilitat
Kompensation,NN,0.004,Kompensationen,kompensation
Kompetenz,NN,0.004,Kompetenzen,kompetenz
Kompliment,NN,0.3323,"Komplimente,Kompliments,Komplimentes,Komplimenten",kompliment
Kompromiss,NN,0.004,"Kompromiß,Kompromisse,Kompromisses,Kompromissen",kompromiss
Konjunkturaufschwung,NN,0.004,"Konjunkturaufschwünge,Konjunkturaufschwungs,Konjunkturaufschwüngen,Konjunkturaufschwunges",konjunkturaufschw
Konsens,NN,0.004,"Konsense,Konsensen,Konsenses",kons
Konsistenz,NN,0.004,Konsistenzen,konsistenz
Konsolidierung,NN,0.004,Konsolidierungen,konsolidier
Konstanz,NN,0.004,,konstanz
Konsultation,NN,0.004,Konsultationen,konsultation
Kontinuität,NN,0.004,,kontinuitat
Kooperation,NN,0.004,Kooperationen,kooperation
Koordinierung,NN,0.004,Koordinierungen,koordinier
Korrektheit,NN,0.004,,korrekt
Korrektur,NN,0.004,Korrekturen,korrektur
Kostbarkeit,NN,0.004,Kostbarkeiten,kostbar
Kraft,NN,0.004,"Kräfte,Kräften",kraft
Kreativität,NN,0.0768,,kreativitat
Kulanz,NN,0.004,,kulanz
Kur,NN,0.0859,Kuren,kur
Langlebigkeit,NN,0.004,,langleb
Laune,NN,0.1085,Launen,laun
Lebensfähigkeit,NN,0.004,Lebensfähigkeiten,lebensfah
Legalität,NN,0.004,,legalitat
Legitimität,NN,0.004,,legitimitat
Leichtigkeit,NN,0.1725,,leichtig
Leidenschaft,NN,0.004,Leidenschaften,leidenschaft
Leistung,NN,0.004,Leistungen,leistung
Leistungsfähigkeit,NN,0.004,Leistungsfähigkeiten,leistungsfah
Liberalismus,NN,0.004,,liberalismus
Liebe,NN,0.0985,Lieben,lieb
Liebling,NN,0.0873,"Lieblings,Lieblinge,Lieblingen",liebling
Linderung,NN,0.004,Linderungen,linder
Lob,NN,0.7246,"Loben,Lobs,Lobes,Lobe",lob
Lohn,NN,0.004,"Löhne,Löhnen,Lohns,Lohnes",lohn
Loyalität,NN,0.004,Loyalitäten,loyalitat
Luxus,NN,0.004,,luxus
Lösung,NN,0.004,Lösungen,losung
Macht,NN,0.004,"Mächten,Mächte",macht
Magie,NN,0.004,Magien,magi
Majestät,NN,0.004,Majestäten,majestat
Maximum,NN,0.004,"Maximums,Maxima",maximum
Meisterschaft,NN,0.004,Meisterschaften,meisterschaft
Meisterwerk,NN,0.004,"Meisterwerken,Meisterwerks,Meisterwerkes,Meisterwerke",meisterwerk
Menschenwürde,NN,0.004,,menschenwurd
Menschlichkeit,NN,0.004,Menschlichkeiten,menschlich
Milde,NN,0.004,,mild
Mitgefühl,NN,0.004,"Mitgefühles,Mitgefühls",mitgefuhl
Mobilität,NN,0.004,,mobilitat
Modernisierung,NN,0.004,Modernisierungen,modernisier
Modernität,NN,0.004,Modernitäten,modernitat
Moral,NN,0.004,Moralen,moral
Motivation,NN,0.004,Motivationen,motivation
Mut,NN,0.6093,"Muts,Mutes",mut
Möglichkeit,NN,0.004,Möglichkeiten,moglich
Nachhaltigkeit,NN,0.004,,nachhalt
Nutzen,NN,0.004,Nutzens,nutz
Nähe,NN,0.0911,,nah
Oase,NN,0.004,Oasen,oas
Optimalität,NN,0.004,,optimalitat
Optimismus,NN,0.0882,,optimismus
Optimist,NN,0.0836,Optimisten,optimist
Ordnungsmäßigkeit,NN,0.004,,ordnungsmass
Originalität,NN,0.004,Originalitäten,originalitat
Pannenhilfe,NN,0.004,Pannenhilfen,pannenhilf
Paradies,NN,0.004,"Paradieses,Paradiesen,Paradiese",paradi
Partner,NN,0.004,"Partners,Partnern",partn
Partnerschaft,NN,0.0779,Partnerschaften,partnerschaft
Perfektion,NN,0.004,Perfektionen,perfektion
Perfektionismus,NN,0.004,,perfektionismus
Perfektionist,NN,0.004,Perfektionisten,perfektionist
Pflege,NN,0.004,,pfleg
Phantasie,NN,0.075,Phantasien,phantasi
Plausibilität,NN,0.004,,plausibilitat
Positivität,NN,0.004,,positivitat
Potenz,NN,0.004,Potenzen,potenz
Pracht,NN,0.004,,pracht
Praktikabilität,NN,0.004,,praktikabilitat
Premium,NN,0.004,,premium
Prestige,NN,0.004,Prestiges,prestig
Privileg,NN,0.004,"Privilege,Privileges,Privilegs,Privilegien",privileg
Produktivität,NN,0.004,,produktivitat
Profit,NN,0.004,"Profite,Profites,Profits,Privilegien",profit
Progression,NN,0.004,Progressionen,progression
Prächtigkeit,NN,0.004,,prachtig
Präferenz,NN,0.004,Präferenzen,praferenz
Präzision,NN,0.004,,prazision
Pünktlichkeit,NN,0.004,,punktlich
Qualifikation,NN,0.004,Qualifikationen,qualifikation
Qualität,NN,0.004,Qualitäten,qualitat
Qualitätsverbesserung,NN,0.004,Qualitätsverbesserungen,qualitatsverbesser
Rat,NN,0.004,"Rate,Rates,Rats,Räte,Räten",rat
Recht,NN,0.004,"Rechten,Rechte,Rechts,Rechtes",recht
Rechtmäßigkeit,NN,0.004,Rechtmäßigkeiten,rechtmass
Rechtsgültigkeit,NN,0.004,Rechtsgültigkeiten,rechtsgult
Rehabilitation,NN,0.004,Rehabilitationen,rehabilitation
Reichtum,NN,0.004,"Reichtumes,Reichtums,Reichtümer,Reichtümern",reichtum
Reinheit,NN,0.004,,reinheit
Reinigung,NN,0.004,Reinigungen,reinig
Relevanz,NN,0.004,Relevanzen,relevanz
Renovierung,NN,0.004,Renovierungen,renovier
Rentabilität,NN,0.004,,rentabilitat
Reparatur,NN,0.004,Reparaturen,reparatur
Respekt,NN,0.004,"Respekte,Respekts,Respektes",respekt
Rettung,NN,0.0707,Rettungen,rettung
Robustheit,NN,0.004,,robust
Romantik,NN,0.0688,,romant
Ruhe,NN,0.5017,,ruh
Ruhm,NN,0.004,"Ruhms,Ruhmes",ruhm
Rückendeckung,NN,0.004,,ruckendeck
Rückgrat,NN,0.004,"Rückgrate,Rückgrats,Rückgrates,Rückgraten",ruckgrat
Rücksicht,NN,0.004,Rücksichten,rucksicht
Rückversicherung,NN,0.004,Rückversicherungen,ruckversicher
Sauberkeit,NN,0.0755,,sauber
Schatz,NN,0.1096,"Schätze,Schatzes,Schätzen,Schatze",schatz
Schenkung,NN,0.004,Schenkungen,schenkung
Schirmherr,NN,0.004,Schirmherren,schirmherr
Schirmherrschaft,NN,0.004,Schirmherrschaften,schirmherrschaft
Schlauheit,NN,0.004,,schlauheit
Schmuck,NN,0.004,"Schmucks,Schmucken,Schmuckes,Schmucke",schmuck
Schnelligkeit,NN,0.004,Schnelligkeiten,schnellig
Schnäppchen,NN,0.004,Schnäppchens,schnappch
Schuldlosigkeit,NN,0.004,,schuldlos
Schutz,NN,0.004,"Schutze,Schutzes,Schutzen",schutz
Schutzmaßnahme,NN,0.004,Schutzmaßnahmen,schutzmassnahm
Schwung,NN,0.238,"Schwunges,Schwungs,Schwüngen,Schwünge,Schwunge",schwung
Schönheit,NN,0.3286,Schönheiten,schonheit
Selbstständigkeit,NN,0.004,Selbstständigkeiten,selbststand
Sensation,NN,0.004,Sensationen,sensation
Seriösität,NN,0.004,,seriositat
Sicherheit,NN,0.004,Sicherheiten,sich
Siegeszug,NN,0.004,"Siegeszuges,Siegeszüge,Siegeszugs,Siegeszügen,Siegeszuge",siegeszug
Sinn,NN,0.004,"Sinns,Sinne,Sinnes,Sinnen",sinn
Solidarität,NN,0.004,,solidaritat
Sorgfältigkeit,NN,0.004,,sorgfalt
Sorglosigkeit,NN,0.004,,sorglos
Sparsamkeit,NN,0.004,Sparsamkeiten,sparsam
Spaß,NN,0.2823,"Spaße,Spaßes,Späße,Späßen",spass
Spende,NN,0.004,Spenden,spend
Spezialität,NN,0.004,Spezialitäten,spezialitat
Sprung,NN,0.004,"Sprüngen,Sprunges,Sprünge,Sprungs,Sprunge",sprung
Stabilität,NN,0.004,,stabilitat
Standhaftigkeit,NN,0.004,,standhaft
Stattlichkeit,NN,0.004,,stattlich
Steigerung,NN,0.004,Steigerungen,steiger
Steigflug,NN,0.004,"Steigfluge,Steigfluges,Steigflugs,Steigflüge,Steigflügen",steigflug
Stifter,NN,0.004,"Stifters,Stiftern",stift
Stiftung,NN,0.004,Stiftungen,stiftung
Stil,NN,0.3398,"Stile,Stilen,Stiles,Stils",stil
Stimulation,NN,0.004,Stimulationen,stimulation
Stolz,NN,0.0797,"Stolzes,Stolze",stolz
Stärke,NN,0.004,Stärken,stark
Stütze,NN,0.004,Stützen,stutz
Subvention,NN,0.004,Subventionen,subvention
Suchtfaktor,NN,0.004,"Suchtfaktors,Suchtfaktoren",suchtfaktor
Superlativ,NN,0.004,"Superlativen,Superlative,Superlativs",superlativ
Symbiose,NN,0.004,Symbiosen,symbios
Sympathie,NN,0.004,Symphatien,sympathi
Talent,NN,0.3352,"Talents,Talenten,Talentes,Talente",talent
Toleranz,NN,0.004,Toleranzen,toleranz
Tradition,NN,0.004,Traditionen,tradition
Treue,NN,0.2019,,treu
Triumph,NN,0.004,"Triumphen,Triumphes,Triumphe,Triumphs",triumph
Trophäe,NN,0.004,Trophäen,tropha
Trost,NN,0.0706,"Trosts,Trostes",trost
Umbruch,NN,0.004,"Umbruches,Umbrüche,Umbruchs,Umbrüchen",umbruch
Unabhängigkeit,NN,0.004,Unabhängigkeiten,unabhang
Unbesiegbarkeit,NN,0.004,,unbesiegbar
Unerschrockenheit,NN,0.004,,unerschrock
Unfehlbarkeit,NN,0.004,,unfehlbar
Unparteilichkeit,NN,0.004,,unparteilich
Unschuld,NN,0.004,,unschuld
Unsterblichkeit,NN,0.004,,unsterblich
Unterstützung,NN,0.004,Unterstützungen,unterstutz
Unverwundbarkeit,NN,0.004,,unverwundbar
Unverzichtbarkeit,NN,0.004,Unverzichtbarkeiten,unverzichtbar
Unwiderstehlichkeit,NN,0.004,Unwiderstehlichkeiten,unwidersteh
Upgrade,NN,0.004,Upgrades,upgrad
Verantwortung,NN,0.004,Verantwortungen,verantwort
Verband,NN,0.004,"Verbände,Verbänden,Verbands,Verbandes",verband
Verbesserung,NN,0.004,Verbesserungen,verbesser
Verbund,NN,0.004,"Verbunde,Verbunds,Verbünde,Verbünden",verbund
Verbundenheit,NN,0.004,Verbundenheiten,verbund
Verbündete,NN,0.004,Verbündeten,verbundet
Verdienst,NN,0.004,"Verdienstes,Verdienste,Verdiensts,Verdiensten",verdien
Veredelung,NN,0.004,Veredelung,veredel
Verehrung,NN,0.004,Verehrungen,verehr
Vereinbarung,NN,0.004,Vereinbarungen,vereinbar
Vereinfachung,NN,0.004,Vereinfachungen,vereinfach
Vereinigung,NN,0.004,Vereinigungen,verein
Vererbung,NN,0.004,Vererbungen,vererb
Verfeinerung,NN,0.004,Verfeinerungen,verfeiner
Vergebung,NN,0.004,Vergebungen,vergeb
Vergrößerung,NN,0.004,Vergrößerungen,vergrosser
Vergötterung,NN,0.004,Vergötterungen,vergotter
Verhandelung,NN,0.004,Verhandelungen,verhandel
Verlobung,NN,0.004,Verlobungen,verlob
Verlöbnis,NN,0.004,"Verlöbnisse,Verlöbsnisses,Verlöbnissen",verlobnis
Vermittlung,NN,0.004,Vermittlungen,vermittl
Vernunft,NN,0.004,,vernunft
Verschönerung,NN,0.004,Verschönerungen,verschoner
Versicherung,NN,0.004,Versicherungen,versicher
Versprechen,NN,0.004,Versprechens,versprech
Verstand,NN,0.004,"Verstands,Verstandes",verstand
Verständnis,NN,0.004,"Verständnissen,Verständnisse,Verständnisses",verstandnis
Verstärkung,NN,0.004,Verstärkungen,verstark
Versöhnung,NN,0.004,Versöhnungen,versohn
Verteidiger,NN,0.004,"Verteidigern,Verteidigers",verteid
Verteidigung,NN,0.004,Verteidigungen,verteid
Vertrag,NN,0.004,"Verträgen,Verträge,Vertrags,Vertrages",vertrag
Vertrauen,NN,0.3512,Vertrauens,vertrau
Vertrauenswürdigkeit,NN,0.004,Vertrauenswürdigkeiten,vertrauenswurd
Vertrauter,NN,0.004,Vertraute,vertraut
Vertrautheit,NN,0.004,Vertrautheiten,vertraut
Verwendbarkeit,NN,0.004,Verwendbarkeiten,verwendbar
Verwirklichung,NN,0.004,Verwirklichungen,verwirklich
