id;dateiname;datum;ort;text
article_55;https_de.wikinews.org_wiki_Bundeskanzler_stellt_beim_Bundespr_C3_A4sidenten_Antrag_f_C3_BCr_Neuwahle;01.07.2005;Berlin (Deutschland) ;" Weniger als zwei Stunden nachdem der Bundestag dem Bundeskanzler das Vertrauen entzogen hatte, war Gerhard Schröder beim Bundespräsidenten zu einem etwa fünfzehnminütigen Gespräch, in dem er vorschlug, als Folge der Abstimmung über die Vertrauensfrage das Parlament vor Ablauf der Legislaturperiode aufzulösen und damit Neuwahlen einzuleiten. Der Bundespräsident erklärte, die zu prüfenden Fragen seien komplex, daher behalte er sich vor, für seine Entscheidung die in Art. 68 Abs. 1 Grundgesetz festgelegte Frist von 21 Tagen auszuschöpfen. Unterdessen geht die Diskussion über die verfassungsrechtliche Unbedenklichkeit des Vorgehens beim Einbringen der Vertrauensfrage in den Bundestag weiter. So erklärte der Staatsrechtler Hans-Peter Schneider gegenüber dem SPIEGEL, der Bundeskanzler werde mit dem Vorgehen bei der Vertrauensfrage vor dem Bundesverfassungsgericht scheitern. In diesem Zusammenhang bewertete er die Ausführungen von SPD-Fraktions- und Parteichef Franz Müntefering vor dem Bundestag in der Debatte über die Erklärung des Kanzlers als „katastrophal“. Müntefering hatte gesagt, der Kanzler habe das Vertrauen der SPD-Fraktion und die Unionskanzlerkandidatin Angela Merkel bekäme bei einem konstruktiven Misstrauensvotum keine Mehrheit. 
Ähnlich äußerte sich der Staatsrechtler Josef Isensee, der bezweifelte, ob die Vertrauensfrage ausreichend und glaubwürdig begründet sei, so wie es die Verfassung verlangt. Die Entscheidung des Bundespräsidenten Horst Köhler wird sich bei seiner Prüfung, ob das Verfahren der Vertrauensfrage mit dem Grundgesetz zu vereinbaren ist, in dem durch das Bundesverfassungsgerichtsurteil von 1983 festgelegten Rahmen bewegen. Die damalige Entscheidung über die Auflösung des Bundestages nach einer verlorenen Vertrauensfrage des Altbundeskanzlers Helmut Kohl (CDU) orientierte sich vor allem an der Handlungsfähigkeit des Bundeskanzlers: „Die politischen Kräfteverhältnisse im Bundestag müssen seine Handlungsfähigkeit so beeinträchtigen oder lähmen, dass er eine vom stetigen Vertrauen der Mehrheit getragene Politik nicht sinnvoll zu verfolgen vermag.“ Der einfache Wunsch aller Parteien nach einer Neuwahl des Parlaments allein reiche dafür nicht aus. Wenn der Bundespräsident den gesetzlichen Rahmen für seine Entscheidung ausschöpft, gilt der 18. September 2005 als der wahrscheinlichste Wahltermin, weil dann die Sommerferien in Deutschland zu Ende sind."
article_56;https_de.wikinews.org_wiki_Bundespr_C3_A4sidentenwahl_in__C3_96sterreich_muss_wiederholt_werden;01.07.2016;Wien (Österreich) ; Der Verfassungsgerichtshof der Republik Österreich entschied am 1. Juli 2016 nach Durchführung von mündlichen Einvernahmen und Verhandlungen, dass die Stichwahl der Bundespräsidentenwahl in ganz Österreich zu wiederholen sei. Zur neuerlichen Stichwahl werden wiederum der Sieger der Stichwahl, Alexander Van der Bellen, und der Unterlegene, Norbert Hofer, antreten. In der mündlichen Begründung führte der Präsident des Verfassungsgerichtshofes, Gerhart Holzinger, aus, dass Formalvorschriften des Wahlgesetzes nicht eingehalten wurden. In 14 der 20 Wahlbezirke, die in der Wahlanfechtung genannt wurden, gab es vorschriftswidrige Vorgänge bei der Auszählung von Briefwahlstimmen. Zum andren wurden seitens der Bundeswahlbehörde bereits ab 13 Uhr des Wahltages erste Ergebnisse „an ausgewählte Empfänger, insbesondere an Medien und Forschungsinstitute“ weitergeleitet. Allfällige Manipulationen seien für die Aufhebung der Wahl angesichts der Rechtswidrigkeiten nicht erforderlich. Der Präsident des VfGH hielt ausdrücklich fest, dass keiner der einvernommenen Zeugen Anhaltspunkte für tatsächliche Manipulationen wahrgenommen habe. Die Formalfehler bei der Auszählung betrafen 77.926 Stimmen. Weil Wähler, die per Briefwahl abstimmten, im Wählerregister nicht gesondert aufgelistet sind, kann die Wahl nicht auf diese beschränkt wiederholt werden, sondern muss im gesamten Bundesgebiet erneut durchgeführt werden. Der Wahltermin wird aufgrund der einzuhaltenden Fristen im Herbst liegen und von Bundesregierung und Hauptausschuss des Nationalrats gemeinsam festgelegt. Nach Ablauf der Amtszeit von Bundespräsident Heinz Fischer am 8. Juli 2016 um 10 Uhr werden die drei Nationalratspräsidenten Doris Bures (SPÖ), Karlheinz Kopf (ÖVP) und der zugleich selbst für die Präsidentschaft kandidierende Norbert Hofer als Kollektivorgan die Amtsgeschäfte führen.  Kommentar abgeben  Portal:Österreich
article_57;https_de.wikinews.org_wiki_Bundesregierung_fordert_l_C3_A4ngere_Speicherung_von_Telekommunikationsda;13.03.2005;Deutschland ; Die Bundesregierung verhandelt derzeit mit deutschen Telekommunikationsunternehmen über die zentrale Speicherung aller Telefon-, eMail-, Internet- und SMS-Daten über einen Zeitraum von zwölf Monaten. Der Bundestag hatte im Jahr 2004 entsprechende Änderungen des Telekommunikationsgesetzes abgelehnt. Ein EU-Rahmenbeschluß, der von allen Mitgliedstaaten in nationales Recht umgesetzt werden muss, kann eine Ablehnung des Bundestags umgehen. Wirtschaftspolitiker und Datenschützer laufen derzeit Sturm gegen diesen großen Lauschangriff. Nach Aussage des Datenschutzbeauftragten der Bundesregierung, Peter Schaar, würde diese Änderung alle Teilnehmer am Telefon-, Handy- und Internet-Verkehr unter einen Generalverdacht stellen. Viele Beiträge der Tagespresse empfinden es als problematisch, dass die deutsche Bundesregierung das Instrumentarium eines EU-Rahmenbeschlusses verwenden will, um eine Überwachungsmaßnahme auch gegen den Bundestag durchzusetzen. Die Woge der Empörung schwappte besonders hoch, weil sich im Bundestag noch Mitte Februar alle Fraktionen erneut entschieden gegen die Einführung einer Vorratsdatenspeicherung ausgesprochen haben. Die FDP-Innenpolitikerin Gisela Piltz wirft den Bundesministern daher „Verrat an den Interessen“ des Parlaments vor.
article_58;https_de.wikinews.org_wiki_Bundestagswahl_2005__Die_SPD_siegt_im_Norden__im_S_C3_BCden_die_CDU;19.09.2005;Berlin (Deutschland) ; Die Ergebnisse der Bundestagswahl 2005 liegen nun vor. Die Verteilung der Stimmen auf die politischen Parteien ist in den einzelnen Bundesländern unterschiedlich. Die Stimmenverteilung bringt ein deutliches Nord-Süd- und ein ebenso deutliches Ost-West-Gefälle zum Ausdruck. In allen nördlichen Bundesländern schnitten die Sozialdemokraten deutlich besser ab als die CDU. In Hamburg, wo die CDU bei den letzten Landtagswahlen die absolute Mehrheit errang und zurzeit den Bürgermeister stellt, erreichte die SPD 38,7 Prozent der Stimmen gegenüber 28,9 Prozent der CDU. Im CDU-regierten Niedersachsen gelang es der CDU nicht, an ihr positives Ergebnis der letzten Landtagswahlen anzuknüpfen. Sie liegt hier mit 33,6 Prozent neun Prozentpunkte hinter der SPD, die 43,2 Prozent der Stimmen erringen konnte. Selbst in Nordrhein-Westfalen, wo die SPD bei den letzten Landtagswahlen eine erdrutschartige Niederlage hinnehmen musste, was ja bekanntlich auch zur Vertrauensfrage des Bundeskanzlers führte, gelang es der SPD, die CDU zu überholen. Sie konnte hier 40 Prozent für sich verbuchen, während die CDU hier nur auf 34,4 Prozent kam. Insgesamt erreichte die SPD in zwölf von sechzehn Bundesländern mehr Stimmen als die CDU. Lediglich Bayern, Baden-Württemberg, Rheinland-Pfalz und Sachsen fielen mehrheitlich an die CDU beziehungsweise CSU. Das Ost-West-Gefälle zeigt sich vor allem bei den Stimmenverhältnissen der Linkspartei, die in den östlichen Bundesländern nach wie vor wesentlich stärker gewählt wurde als in den westlichen Bundesländern. In allen fünf Bundesländern des Ostens konnte die Linkspartei, auf deren Listen vor allem im Westen ja auch Kandidaten der WASG antraten, mehr als zwanzig Prozent für sich verbuchen. In Brandenburg, Sachsen-Anhalt und Thüringen wurde die Linkspartei nach der SPD zweitstärkste Kraft. In den westlichen Bundesländern lagen ihre Stimmenergebnisse jeweils meist knapp unter oder über der Fünf-Prozent-Marke. Ihr schlechtestes Ergebnis erzielte die Partei in Bayern mit 3,4 Prozent der Stimmen. Im Saarland, dem Bundesland, in dem einer der beiden Spitzenkandidaten der Linkspartei, Oskar Lafontaine, einmal Oberbürgermeister und später Ministerpräsident war, gelang den Linken mit 18,5 Prozent der Stimmen ein Achtungserfolg. Am Rande sei als ein wichtiges Ergebnis der zurückliegenden Bundestagswahl notiert, dass es der NPD in keinem Bundesland gelang, die Fünf-Prozent-Hürde zu überspringen. In Sachsen verfehlte sie dieses Ziel mit 4,9 Prozent allerdings nur knapp.
article_59;https_de.wikinews.org_wiki_Bundeswehr_hilft_nach_Hurrikan_auf_den_Bahamas;08.09.2019;Berlin (Deutschand) ; Der Hurrikan Dorian traf Anfang September 2019 auf die Bahamas und hinterließ eine Schneise der Verwüstung, die in dem Karibikstaat mindestens 43 Menschen das Leben gekostet hat. Die Bundeswehr wird sich mit 70 Soldaten an einem militärischen Hilfseinsatz beteiligen. Die Soldaten des Seebataillons aus Eckernförde waren auf dem Landungsschiff unterwegs in die Karibik, um in den bevorstehenden Wochen gemeinsam mit der niederländischen Besatzung des Schiffs an einem Marinemanöver teilzunehmen. Die Regierung in den Niederlanden entschied aufgrund der Notlage in der Karibik, die Johan de Witt aus dem Manöver abzuziehen und zur humanitären Hilfeleistung in das Katastrophengebiet zu verlegen. Die deutschen Soldaten werden dabei, so der Generalinspekteur der Bundeswehr, vor Ort die niederländische Besatzung unterstützen. Dieser Einsatz ist im Rahmen der Hilfeleistung nicht mandatierungspflichtig. Das Schiff wird aktuell vor der Küste von St. Martin mit Hilfsgütern beladen und läuft am Montag (9. September) aus, um mit dem Einsatz zu beginnen. Der Schwerpunkt dieses Einsatzes liegt in der Versorgung der betroffenen Bevölkerung mit Trinkwasser und Lebensmitteln sowie medizinischer Hilfeleistung. Auch das World Food Programme (WFP) bereitet Hilfslieferungen vor. Wie ein Sprecher des UN-Generalsekretärs António Guterres mitteilte, habe das WFP rund sieben Tonnen Fertiggerichte beschafft und kläre nun deren Transport auf die Bahamas. Die bisher bekannte Opferzahl wird sich nach Ansicht von Gesundheitsminister Duane Sands noch erhöhen. Dieser befürchtete gegenüber dem „Nassau Guardian“ eine „überwältigende“ Anzahl an Todesopfern. Es werden hunderte oder gar tausende von Bewohnern vermisst. Hinzu kommen viele tausend Obdachlose.  Kommentar abgeben 
article_60;https_de.wikinews.org_wiki_Bundeswehr_nimmt_Hilfsfl_C3_BCge_f_C3_BCr_Katastrophengebiet_in_USA_auf;04.09.2005;Berlin (Deutschland) / Pensacola (Vereinigte Staaten) ; Ein weiterer Airbus der Bundeswehr ist heute mit 15 Tonnen Lebensmitteln für die Hurrikan- und Flutopfer im Süden der USA abgeflogen. Bereits gestern war eine erste Lieferung mit zehn Tonnen Tagesrationen aus Bundeswehrbeständen an die US-Behörde für Katastrophenmanagement (FEMA) übergeben worden. Wie das Verteidigungsministerium mitteilte, wird der Airbus um 17:00 Uhr Ortszeit (23:00 Uhr MESZ) in Pensacola (Florida) landen. Laut Medienberichten brachten Amerikaner ihre Freude über die „German Rosinenbomber“ zum Ausdruck und stellten eine Verbindung zu den Flügen der US-Luftstreitkräfte nach dem Zweiten Weltkrieg her, als Berlin im Jahr 1948 über eine Luftbrücke versorgt werden musste.
article_61;https_de.wikinews.org_wiki_Bush_ruft_zur_Flucht_vor_Hurrikan_Rita_auf;21.09.2005;Washington D.C. / Houston (Vereinigte Staaten) ;" US-Präsident George W. Bush hat am Mittwoch in einer Rede an die Bewohner der durch Hurrikan ""Rita"" gefährdeten Gebiete appelliert, zu flüchten. Etwaige Zwangsevakuierungen müssten befolgt werden, sagte Bush. Die Hoffnung, dass ""Rita"" nicht zu einem hochgefährlichen Sturm heranwachse, bestehe zwar, doch, so Bush, ""wir müssen auf das Schlimmste gefasst sein"". Zwangsevakuierungen wurden für die Städte Galveston und New Orleans angeordnet. In der von Hurrikan ""Katrina"" schwer zerstörten Jazz-Metropole stehen derzeit rund 500 Busse bereit, um Flüchtlinge aus der Stadt zu bringen. Jene Einwohner der Millionenstadt Houston, die in tiefer gelegenen Gebieten oder in Wohnwagen leben, wurden ebenfalls aufgefordert, die Stadt zu verlassen. Experten rechnen für den Fall, dass der Hurrikan die Südküste erreicht, mit einer Flutwelle von sechs Metern Höhe."
article_62;https_de.wikinews.org_wiki_C3_84thiopien__Tote_bei_Protesten_gegen_die_Regierung;18.06.2005;Addis Abeba (Äthiopien) ; Bei Protesten gegen die Regierung kamen in der Hauptstadt Äthiopiens mindestens 22 Menschen ums Leben, als die Polizei das Feuer auf Steine werfende Demonstranten eröffnete. Korrespondentenberichten zufolge befinden sich im „Black Lion Hospital“ in Addis Abeba zahlreiche Menschen, die bei den Zusammenstößen verletzt wurden. Behandelt würden vor allem Schussverletzungen. Oppositionsanhänger, in der Mehrzahl Studenten, demonstrieren seit drei Tagen in Addis Abeba und anderen großen Städten des Landes gegen das provisorische Wahlergebnis der Parlamentswahl. Regierungsvertreter machen die größte Oppositionspartei „Koalition für Einheit und Entwicklung“ (CUD) für die Eskalation der Gewalt verantwortlich. Das auswärtige Amt rät dazu, „nicht notwendige Reisen nach Äthiopien zu verschieben“. Die regierende „Ethiopian People's Revolutionary Democratic Front“ von Ministerpäsident Meles Zenawi hat dem Ergebnis zufolge zusammen mit verbündeten Parteien 328 von 547 Sitzen gewonnen. Die Oppositionsparteien kommen laut vorläufigem Ergebnis auf 194 Sitze. Bei den letzten Parlamentswahlen vor fünf Jahren gewannen die Oppositionsparteien lediglich zwölf Sitze. Aufgrund zahlreicher Beschwerden wurde die für heute geplante Veröffentlichung des Endergebnisses um einen Monat verschoben. Bei der Wahlkommission gingen Beschwerden aus mehr als der Hälfte der Wahlkreise ein. Kemal Bedri, Vorsitzender der Wahlkommission, begründete auf einer Pressekonferenz die Verschiebung der Veröffentlichung der Ergebnisse mit dem Ausmaß der Beschwerden. Zeitgleich wurden einige hundert demonstrierende Studenten auf dem Gelände der größten Universität von Addis Abeba verhaftet. Ministerpäsident Meles Zenawi hatte nach der Wahl ein einmonatiges Demonstrationsverbot verhängt. Internationale Wahlbeobachter dokumentierten Unregelmäßigkeiten, kamen aber zum Ergebnis, dass die Wahl freier war als die Parlamentswahl des Jahres 2000. Besonders kritisiert wurde die unausgewogene Berichterstattung der staatlich kontrollierten Medien.
article_63;https_de.wikinews.org_wiki_C3_96DP_tritt_nicht_mehr_zur_Bundestagswahl_2005_an;08.09.2005;Stuttgart (Deutschland) ; Wie die baden-württembergische ÖDP in einer Pressemitteilung ankündigte, wird sie am 18. September nicht mehr zur Bundestagswahl antreten. Stattdessen empfiehlt die ÖDP ihren Wählern die Familien-Partei zu wählen, mit denen eine große inhaltliche Übereinstimmung herrsche. Die ÖDP will sich nun mehr auf die Landtagswahl 2006 konzentrieren. Das Ziel sei, in allen 70 baden-württembergischen Wahlkreisen mit eigenen Kandidaten präsent zu sein. Bisher habe man in der Hälfte der Wahlkreise Kandidaten aufstellen können.
article_64;https_de.wikinews.org_wiki_C3_96ffentlicher_Judenhass_und_Antisemitismus_in_Berlin;12.12.2017;Berlin (Deutschland) ; Die deutsche Hauptstadt Berlin war am vergangenen Wochenende Schauplatz von offen zur Schau gestelltem Judenhass, Antisemitismus und Anfeindungen gegen den Staat Israel. Anlass war die Erklärung von US-Präsident Trump, er wolle ganz Jerusalem als Hauptstadt Israels anerkennen. Die deutsche Bundesregierung und mehrere Bundesminister verurteilten die Demonstrationen. Bereits am Freitag waren vor dem Brandenburger Tor israelische Flaggen verbrannt worden, worauf die Polizei zehn Menschen festnahm und die Kundgebung auflöste. Die Demonstranten hatten Jerusalem als „Hauptstadt Palästinas“ bezeichnet. Das Nachrichtenmagazin DER SPIEGEL beklagt in der Berichterstattung, es sei nicht bekannt, wie verbreitet antisemitische Denkweisen unter Migranten sind. Auch bei den antisemitischen Straftaten in Deutschland, von denen es im vergangenen Jahr 1.468 gab, wird nicht ermittelt, wie viele der Täter einen Migrationshintergrund hätten. Berlins Regierender Bürgermeister Michael Müller (SPD) erklärte, er werde Antisemitismus und Rassismus bei Demonstrationen nicht dulden. Eine Reporterin der Illustrierten STERN schreibt: „Diese Gewalt ist vielleicht die Folge einer misslungenen Migrations- und Integrationspolitik, noch mehr aber die Folge der verstörend laschen Reaktion der europäischen Regierungen auf diese Entwicklungen.“  Kommentar abgeben / Kommentare ansehen  Portal:Deutschland
article_65;https_de.wikinews.org_wiki_C3_96sterreich__Misstrauensvotum_kostet_Bundeskanzler_Kurz_das_Amt;27.05.2019;Wien (Österreich) ;"
Der Politiker und österreichische Bundeskanzler Sebastian Kurz hat das Misstrauensvotum des Nationalrats verloren.
Damit war zum ersten Mal in der österreichischen Geschichte ein Misstrauensvotum gegen einen Kanzler erfolgreich. Das Votum wurde von der SPÖ initiiert und von den beiden Parteien FPÖ und JETZT unterstützt. Somit hatten diese Parteien die Mehrheit, da lediglich die ÖVP, Kurz' Partei, und die NEOS dagegen stimmten. Das Misstrauensvotum war eine Folge des Ibiza-Skandals, der für große Wellen in Österreich sorgte. Die SPÖ möchte eine reine Expertenregierung bis zu den Neuwahlen im Herbst. Auch Norbert Hofer, der derzeitige FPÖ-Parteichef, sprach sich dafür aus. Kurz bleibt noch bis zu seiner formellen Entlassung durch Bundespräsident Van der Bellen im Amt.  Kommentar abgeben "
article_66;https_de.wikinews.org_wiki_C3_96sterreichische_Regierung_stellt_Sparprogramm_vor;08.01.2018;Seggauberg (Österreich) ; Die neue ÖVP-FPÖ-Regierung in Österreich, unter Bundeskanzler Sebastian Kurz, stellte auf dem Ministerrat auf Schloss Seggau ein geplantes 2,5 Milliarden Euro schweres Sparprogramm vor. Diese Einsparungen sollen den österreichischen Bundeshaushalt in den Jahren 2018 und 2019 entlasten. Das konkrete Programm soll schließlich im März diesen Jahres vorgelegt werden. Im Detail möchte man die Verwaltungsausgaben um 1 Milliarde Euro kürzen, die Förderungen des Bundes sollen um 190 Millionen Euro verringert werden, dies allerdings vor allem durch die Abschaffung der Mehrfachkürzung unterschiedlicher Ministerien. Weitere 140 Millionen Euro sollen ausgegliederte Behörden sparen, die Mietkosten sollen um 50 Millionen Euro sinken und der Beschäftigungsbonus soll abgeschafft werden. Bei diesem Bonus werden dem Arbeitgeber, für drei Jahre, bis zu 50 Prozent der Lohnnebenkosten bezahlt, wenn dieser zusätzliche sozialversicherungspflichtige Arbeitsplätze schafft. Darüber hinaus soll die Familienbeihilfe für im EU-Ausland lebende Kinder deutlich verringert werden. Dadurch sollen 114 Millionen Euro eingespart werden. Dieses Projekt steht aber in der Kritik, da nicht geklärt ist ob es EU-Rechtskonform ist, denn innerhalb der Europäischen Union gibt es den Grundsatz das EU-Ausländer nicht schlechter gestellt werden dürfen. Bundeskanzler Kurz ist der Auffassung das diese EU-konform seien. EU-Sozialkommissarin Marianne Thyssen ist dahingegen der Auffassung, dass diese nicht dem EU-Recht entspreche. Darüber hinaus betonte Thyssen, dass es kaum Einsparungen durch die Kürzung geben werde, da ein deutlich höherer Verwaltungsaufwand zu erwarten sei. Die österreichische Regierung plant nämlich, die Höhe der Beihilfe von den Lebenshaltungskosten in dem jeweiligen EU-Staat abhängig zu machen. Eine Sprecherin der EU-Kommission sagte, man werde das genau prüfen.   Kommentar abgeben  
article_67;https_de.wikinews.org_wiki_C3_96sterreichische_Regierungskoalition_platzt_nach_Ibiza-Skandal;NA;"„Genug ist genug“
 Österreichische Regierungskoalition platzt nach Ibiza";Skandal Wien (Österreich), 20.05.2019 – Die im Dezember 2017 angelobte Bundesregierung Kurz von ÖVP und FPÖ ist plötzlich zu einem Ende gekommen. Der Bundeskanzler und ÖVP-Chef Sebastian Kurz hat mit dem Koalitionspartner FPÖ gebrochen, wie er am Sonntag Abend gegen 20 Uhr in Wien vor der Presse erklärt hat. „Genug ist genug“, so sagte Kurz bei der Pressekonferenz. Anlass dieses Regierungsbruchs ist der neue Skandal rund um Vizekanzler und FPÖ-Chef Heinz-Christian Strache – nach einer langen Reihe von weiteren Skandalen des rechtspopulistischen Koalitionspartners. Auf Kamerabildern, die am 24. Juli 2017 in einer Villa auf Ibiza offenbar heimlich aufgenommen wurden und die erst kürzlich aufgetaucht sind, schlagen Strache und sein Parteigenosse Johann Gudenu einer angeblich reichen Russin, die in Wirklichkeit als Lockvogel diente, verschiedene Investitionsmöglichkeiten in Österreich vor. Es handelte sich dabei besonders um den finanziellen Einstieg in die Kronen Zeitung. Als Gegenleistung sollte die Frau für Unterstützung der FPÖ sorgen, im Vorwege zur Nationalratswahl vom Oktober 2017. Das im Original stundenlange Skandal-Video ist von Der Spiegel und Süddeutsche Zeitung in Ausschnitten veröffentlicht worden. Strache verkündete daraufhin seinen Rücktritt. In der Pressekonferenz verteidigte er sich gleichwohl: Er habe nichts Illegales getan und sei das Opfer einer „Schmutzkampagne“. Bundespräsident Alexander Van der Bellen hat nach einem Gespräch mit Bundeskanzler Kurz bereits Neuwahlen angekündigt, die nach derzeitiger Planung Anfang September abgehalten werden sollen.  Kommentar abgeben 
article_68;https_de.wikinews.org_wiki_C3_9Cber_70_Tote_bei_Terroranschlag_in_Niger;03.01.2021;Niamey (Niger) ; Bei einem Terrorangriff auf die zwei benachbarten Dörfer Tchioma Bangou und Zaroumbey Darey nahe der Grenze zu Mali wurden nach ersten Angaben des nigrischen Innenministers Alkaché Alhada nach dem Anschlag am Samstag mindestens 56 Menschen getötet und mehr als 20 weitere verletzt. Die Nachrichtenagentur Reuters berief sich auf Informanten vor Ort und sprach von mehr als 70 Zivilisten, die getötet worden sein sollen. Das Innenministerium bestätigte danach diese Zahl an Todesopfern. Die Zahl der Verletzten soll 75 betragen. In Niger und anderen Ländern dieser Region sind mehrere Terrorgruppen aktiv. Es handelt sich um dschihadistische Gruppierungen, die ursprünglich al-Qaida oder dem „Islamischen Staat“ (IS) nahestanden. Darüber hinaus gibt es Netzwerke, die sich in den schwer kontrollierbaren Grenzgebieten der nigrischen Sahel-Zone gebildet haben, um den Schmuggel und die Schlepperei zu kontrollieren. Niger ist eines der Haupt-Transitländer für afrikanische Migranten in Richtung Europa. Zusammen mit Mali, Mauretanien, dem Tschad und Burkina Faso ist Niger Teil der Staatengruppe G5 du Sahel, die sich mit Unterstützung der EU und Saudi-Arabiens gebildet hat, um neben der wirtschaftlichen Zusammenarbeit die Sicherheit in der Region zu gewährleisten. Das Innenministerium in Niamey gab bekannt, dass es sich um eine Auseinandersetzung zwischen den Bewohnern der beiden Dörfer und einer dschihadistischen Gruppierung handeln könnte. In den beiden Gemeinden waren Selbstverteidigungsgruppen gegründet worden, die für den Tod von zwei dschihadistischen Kämpfern verantwortlich gemacht werden. Der Terrorangriff soll eine Vergeltungsaktion dafür gewesen sein. Die bewaffneten Männer sollen mit ca. 100 Mopeds aus Mali kommend zeitgleich in die beiden Dörfer eingedrungen sein und wahllos in die Menge geschossen haben. Danach entkamen sie wahrscheinlich ins nahe liegende Nachbarland. Der Anschlag ereignete sich am Tag der Bekanntgabe der vorläufigen Ergebnisse der Parlamentswahl und des ersten Durchgangs der Präsidentschaftswahl in Niger. Bei der Wahl kommt es im Februar zu einer Stichwahl, da keiner der Kandidaten eine absolute Mehrheit erreichen konnte. Es geht um den ersten demokratischen Machtübergang in dem afrikanischen Binnenstaat.  Kommentar abgeben 
article_69;https_de.wikinews.org_wiki_C3_9Cber_hundert_Tote_bei_Luftangriffen_im_Jemen;05.09.2019;Sanaa (Jemen) ; Mehrere Dutzend Menschen fielen Luftangriffen im südlich der Hauptstadt Sanaa gelegenen Dhamar zum Opfer. „Wir schätzen, dass mehr als hundert Menschen getötet wurden“, sagte der Leiter der für Jemen zuständigen Sektion des Internationalen Komitees vom Roten Kreuz, Franz Rauchenstein, am Sonntag (1. September) der französischen Nachrichtenagentur AFP. Nach Angaben der von Saudi-Arabien angeführten Militärkoalition wurde die Stellung der Huthi-Rebellen südlich von Sanaa angegriffen. Der Angriff haben einem Lager für Drohnen und Raketen gegolten und habe internationalem Recht entsprochen. Die Huthi-Rebellen verbreiteten über ihren Fernsehsender Al-Masirah allerdings die Meldung, dass während der sieben Angriffswellen auch ein Gefängnis getroffen worden sei. Ein Huthi-Sprecher sagte, dass der Saudi-Koalition die Nutzung des früheren Universitätsgebäudes als Gefängnis bekannt war. In dem Gefängnis seien rund 170 Häftlinge festgehalten worden. Laut Rauchenstein ist die Wahrscheinlichkeit „sehr gering“, in den Trümmern noch Überlebende zu finden. Rauchenstein sprach von einem „schockierenden und traurigen Vorfall“. Der Krieg zwischen den Regierungstruppen unter Präsident Abed Rabbo Mansur Hadi, der neben Saudi-Arabien von den Vereinigten Arabischen Emiraten und einigen anderen arabischen Staaten unterstützt wird, und den vom Iran gestützten Huthi-Rebellen hat 2015 begonnen. Nach Angaben der Vereinten Nationen sind seit Ausbruch des Konflikt über 3,3 Millionen Personen geflohen, mehr als 10.000 wurden getötet.  Kommentar abgeben 
article_70;https_de.wikinews.org_wiki_CDU-Bundestagsabgeordnete_Karin_Strenz_gestorben;24.03.2021;Schwerin (Deutschland) / Limerick (Irland) ; Die Bundestagsabgeordnete Karin Strenz starb am vergangenen Sonntag auf dem Rückflug von Kuba in einem Krankenhaus. Auf dem irischen Shannon Airport war das Flugzeug mit Strenz notgelandet, um sie ins Universitätskrankenhaus Limerick zu bringen. Die Politikerin hatte im Flugzeug das Bewusstsein verloren. Strenz befand sich offenbar auf einer Privatreise mit ihrem Ehemann. „Eine dienstliche Veranlassung gab es jedenfalls nicht“, sagte der Sprecher der CDU-Landesgruppe Mecklenburg-Vorpommern, Eckhardt Rehberg, am Montag der Deutschen Presseagentur. Der Bundestag hatte im Januar 2021 die Immunität der 53-jährigen Abgeordneten aus Mecklenburg-Vorpommern aufgehoben. Die Staatsanwaltschaft beschuldigte Strenz, eine Schmiergeldzahlung einer pro-aserbaidschanischen Lobbygruppe erhalten zu haben. Sie habe als Mitglied der Parlamentarierversammlung des Europarates nach dem Empfang von 22.000 Euro ein auffällig „pro-aserbaidschanisches Verhalten“ gezeigt, hieß es von der Staatsanwaltschaft. So hatte Strenz 2015 als einzige deutsche Abgeordnete in der Parlamentarischen Versammlung des Europarates gegen eine Entschließung gestimmt, deren Gegenstand die Freilassung politischer Gefangener in Aserbaidschan war. Als Wahlbeobachterin in dem Kaukasus-Staat stellte sie dem autokratischen Regime mehrfach die Beurteilung aus, dass es beim Wahlverlauf zu keinen Unregelmäßigkeiten gekommen sei. 2017 hatte Strenz zugegeben, über Unternehmen des früheren CSU-Bundestagsbgeordneten Eduard Linter zwei Zahlungen von je 10.000 Euro erhalten zu haben. Linter war 2009 aus den Bundestag ausgeschieden und hatte dann eine Lobbygruppe gegründet, die sich für Aserbaidschan engagiert. Nach Angaben der Staatsanwaltschaft Frankfurt am Main sind über Konten in baltischen Staaten und britische Briefkastenfirmen zwischen 2008 und 2016 etwa vier Millionen Euro geflossen. In diesem Zusammenhang habe die Staatsanwaltschaft insgesamt 16 Wohnungen und Büros in Berlin, Bayern, Mecklenburg-Vorpommern und in Belgien durchsuchen lassen. Die Staatsanwaltschaft Schwerin hat am Montag ein Todesermittlungsverfahren eingeleitet und ein Rechtshilfeersuchen an die irische Regierung in die Wege geleitet, um die Umstände des Todes von Strenz aufzuklären. „Wir gehen davon aus, dass es dann eine Obduktion der Toten in Irland gibt“, sagte ein Sprecher der Staatsanwaltschaft. Karin Strenz war seit 2009 Mitglied des Deutschen Bundestages. Von 2002 bis 2006 und von 2007 bis 2009 war sie Landtagsabgeordnete in Mecklenburg-Vorpommern. Parallel zu ihrem politischen Mandat war sie als Unternehmensberaterin tätig.  Kommentar abgeben 
